time,unit,technology,output
70,3,Wind onshore,-0.0
70,4,Wind offshore,-0.0
71,1,Solar PV,-0.0
71,2,Wind offshore,-344.64925286163475
71,3,Wind onshore,-0.0
71,4,Wind offshore,-0.0
72,1,Solar PV,-0.0
72,2,Wind offshore,-355.84551249869907
72,3,Wind onshore,-0.0
72,4,Wind offshore,-0.0
73,1,Solar PV,-0.0
73,2,Wind offshore,-360.26247661170527
73,3,Wind onshore,-0.0
73,4,Wind offshore,-0.0
74,1,Solar PV,-0.0
74,2,Wind offshore,-155.9774576191159
74,3,Wind onshore,-0.0
74,4,Wind offshore,-0.0
75,1,Solar PV,-0.0
75,2,Wind offshore,-163.46621936403204
75,3,Wind onshore,-0.0
75,4,Wind offshore,-0.0
76,1,Solar PV,-0.0
76,2,Wind offshore,-342.0058988857999
76,3,Wind onshore,-0.0
76,4,Wind offshore,-0.0
77,1,Solar PV,-0.0
77,2,Wind offshore,-319.7099230557976
77,3,Wind onshore,-0.0
77,4,Wind offshore,-0.0
78,1,Solar PV,-0.0
78,2,Wind offshore,-295.3641818377064
78,3,Wind onshore,-0.0
78,4,Wind offshore,-0.0
79,1,Solar PV,-0.0
79,2,Wind offshore,-268.41119472431217
79,3,Wind onshore,-0.0
79,4,Wind offshore,-0.0
80,1,Solar PV,-0.0
80,2,Wind offshore,-235.83736014939808
80,3,Wind onshore,-0.0
80,4,Wind offshore,-0.0
81,1,Solar PV,-0.0
81,2,Wind offshore,-200.7583795566155
81,3,Wind onshore,-0.0
81,4,Wind offshore,-0.0
82,1,Solar PV,-0.0
82,2,Wind offshore,-172.3471215170901
82,3,Wind onshore,-0.0
82,4,Wind offshore,-0.0
83,1,Solar PV,-0.0
83,2,Wind offshore,-134.72775082853508
83,3,Wind onshore,-0.0
83,4,Wind offshore,-0.0
84,1,Solar PV,-0.0
84,2,Wind offshore,-131.57371278800042
84,3,Wind onshore,-0.0
84,4,Wind offshore,-0.0
85,1,Solar PV,-0.0
85,2,Wind offshore,-149.61465206322893
85,3,Wind onshore,-0.0
85,4,Wind offshore,-0.0
86,1,Solar PV,-0.0
86,2,Wind offshore,-176.54168430555305
86,3,Wind onshore,-0.0
86,4,Wind offshore,-0.0
87,1,Solar PV,-0.0
87,2,Wind offshore,-206.41630715146002
87,3,Wind onshore,-0.0
87,4,Wind offshore,-0.0
88,1,Solar PV,-0.0
88,2,Wind offshore,-219.61932220982771
88,3,Wind onshore,-0.0
88,4,Wind offshore,-0.0
89,1,Solar PV,-0.0
89,2,Wind offshore,-209.70546028009065
89,3,Wind onshore,-0.0
89,4,Wind offshore,-0.0
90,1,Solar PV,-0.0
90,2,Wind offshore,-196.70923173908693
90,3,Wind onshore,-0.0
90,4,Wind offshore,-0.0
91,1,Solar PV,-0.0
91,2,Wind offshore,-183.59662579183308
91,3,Wind onshore,-0.0
91,4,Wind offshore,-0.0
92,1,Solar PV,-0.0
92,2,Wind offshore,-185.6588970014225
92,3,Wind onshore,-0.0
92,4,Wind offshore,-0.0
93,1,Solar PV,-0.0
93,2,Wind offshore,-188.72940018759186
93,3,Wind onshore,-0.0
93,4,Wind offshore,-0.0
94,1,Solar PV,-0.0
94,2,Wind offshore,-175.9307391988667
94,3,Wind onshore,-0.0
94,4,Wind offshore,-0.0
95,1,Solar PV,-0.0
95,2,Wind offshore,-158.00097420918573
95,3,Wind onshore,-0.0
95,4,Wind offshore,-0.0
96,1,Solar PV,-0.0
96,2,Wind offshore,-139.47146077032627
96,3,Wind onshore,-0.0
96,4,Wind offshore,-0.0
97,1,Solar PV,-0.0
97,2,Wind offshore,-100.95609356345912
97,3,Wind onshore,-0.0
97,4,Wind offshore,-0.0
98,1,Solar PV,-0.0
98,2,Wind offshore,-41.19956019660898
98,3,Wind onshore,-0.0
98,4,Wind offshore,-0.0
99,1,Solar PV,-0.0
99,2,Wind offshore,-7.227423880202055
99,3,Wind onshore,-0.0
99,4,Wind offshore,-0.0
100,1,Solar PV,-0.0
100,2,Wind offshore,-0.0
100,3,Wind onshore,-0.0
100,4,Wind offshore,-0.0
101,1,Solar PV,-0.0
101,2,Wind offshore,-0.0
101,3,Wind onshore,-0.0
101,4,Wind offshore,-0.0
102,1,Solar PV,-0.0
102,2,Wind offshore,-6.023305030258097
102,3,Wind onshore,-0.0
102,4,Wind offshore,-0.0
103,1,Solar PV,-0.0
103,2,Wind offshore,-53.65327297605056
103,3,Wind onshore,-0.0
103,4,Wind offshore,-0.0
104,1,Solar PV,-0.0
104,2,Wind offshore,-113.18235005876124
104,3,Wind onshore,-0.0
104,4,Wind offshore,-0.0
105,1,Solar PV,-0.0
105,2,Wind offshore,-161.48286421183155
105,3,Wind onshore,-0.0
105,4,Wind offshore,-0.0
106,1,Solar PV,-0.0
106,2,Wind offshore,-167.15001406829404
106,3,Wind onshore,-0.0
106,4,Wind offshore,-0.0
107,1,Solar PV,-0.0
107,2,Wind offshore,-161.15434041251427
107,3,Wind onshore,-0.0
107,4,Wind offshore,-0.0
108,1,Solar PV,-0.0
108,2,Wind offshore,-158.83687735841744
108,3,Wind onshore,-0.0
108,4,Wind offshore,-0.0
109,1,Solar PV,-0.0
109,2,Wind offshore,-151.75592723961367
109,3,Wind onshore,-0.0
109,4,Wind offshore,-0.0
110,1,Solar PV,-0.0
110,2,Wind offshore,-155.71159963925157
110,3,Wind onshore,-0.0
110,4,Wind offshore,-0.0
111,1,Solar PV,-0.0
111,2,Wind offshore,-161.2879844734372
111,3,Wind onshore,-0.0
111,4,Wind offshore,-0.0
112,1,Solar PV,-0.0
112,2,Wind offshore,-170.86430378750322
112,3,Wind onshore,-0.0
112,4,Wind offshore,-0.0
113,1,Solar PV,-0.0
113,2,Wind offshore,-170.8986816838999
113,3,Wind onshore,-0.0
113,4,Wind offshore,-0.0
114,1,Solar PV,-0.0
114,2,Wind offshore,-187.0483197549837
114,3,Wind onshore,-0.0
114,4,Wind offshore,-0.0
115,1,Solar PV,-0.0
115,2,Wind offshore,-192.61652385775514
115,3,Wind onshore,-0.0
115,4,Wind offshore,-0.0
116,1,Solar PV,-0.0
116,2,Wind offshore,-194.96084581950853
116,3,Wind onshore,-0.0
116,4,Wind offshore,-0.0
117,1,Solar PV,-0.0
117,2,Wind offshore,-210.6879668134569
117,3,Wind onshore,-0.0
117,4,Wind offshore,-0.0
118,1,Solar PV,-0.0
118,2,Wind offshore,-219.96760193152252
118,3,Wind onshore,-0.0
118,4,Wind offshore,-0.0
119,1,Solar PV,-0.0
119,2,Wind offshore,-235.32726309680658
119,3,Wind onshore,-0.0
119,4,Wind offshore,-0.0
120,1,Solar PV,-0.0
120,2,Wind offshore,-251.80138052852587
120,3,Wind onshore,-0.0
120,4,Wind offshore,-0.0
121,1,Solar PV,-0.0
121,2,Wind offshore,-274.24172124912684
121,3,Wind onshore,-0.0
121,4,Wind offshore,-0.0
122,1,Solar PV,-0.0
122,2,Wind offshore,-285.18063626747556
122,3,Wind onshore,-0.0
122,4,Wind offshore,-0.0
123,1,Solar PV,-0.0
123,2,Wind offshore,-308.8324293509531
123,3,Wind onshore,-0.0
123,4,Wind offshore,-0.0
124,1,Solar PV,-0.0
124,2,Wind offshore,-333.2238620324546
124,3,Wind onshore,-0.0
124,4,Wind offshore,-0.0
125,1,Solar PV,-0.0
125,2,Wind offshore,-346.64686534107733
125,3,Wind onshore,-0.0
125,4,Wind offshore,-0.0
126,1,Solar PV,-0.0
126,2,Wind offshore,-334.78097262363804
126,3,Wind onshore,-0.0
126,4,Wind offshore,-0.0
127,1,Solar PV,-0.0
127,2,Wind offshore,-331.3940758441417
127,3,Wind onshore,-0.0
127,4,Wind offshore,-0.0
128,1,Solar PV,-0.0
128,2,Wind offshore,-335.9267678704162
128,3,Wind onshore,-0.0
128,4,Wind offshore,-0.0
129,1,Solar PV,-0.0
129,2,Wind offshore,-321.3114306529384
129,3,Wind onshore,-0.0
129,4,Wind offshore,-0.0
130,1,Solar PV,-0.0
130,2,Wind offshore,-305.2766838211954
130,3,Wind onshore,-0.0
130,4,Wind offshore,-0.0
131,1,Solar PV,-0.0
131,2,Wind offshore,-300.61747047012176
131,3,Wind onshore,-0.0
131,4,Wind offshore,-0.0
132,1,Solar PV,-0.0
132,2,Wind offshore,-296.09288996897806
132,3,Wind onshore,-0.0
132,4,Wind offshore,-0.0
133,1,Solar PV,-0.0
133,2,Wind offshore,-300.20319970172824
133,3,Wind onshore,-0.0
133,4,Wind offshore,-0.0
134,1,Solar PV,-0.0
134,2,Wind offshore,-322.79803354316357
134,3,Wind onshore,-0.0
134,4,Wind offshore,-0.0
135,1,Solar PV,-0.0
135,2,Wind offshore,-313.467364284754
135,3,Wind onshore,-0.0
135,4,Wind offshore,-0.0
136,1,Solar PV,-0.0
136,2,Wind offshore,-283.5207980750241
136,3,Wind onshore,-0.0
136,4,Wind offshore,-0.0
137,1,Solar PV,-0.0
137,2,Wind offshore,-279.7770244989964
137,3,Wind onshore,-0.0
137,4,Wind offshore,-0.0
138,1,Solar PV,-0.0
138,2,Wind offshore,-302.5215130784198
138,3,Wind onshore,-0.0
138,4,Wind offshore,-0.0
139,1,Solar PV,-0.0
139,2,Wind offshore,-296.0552158900712
139,3,Wind onshore,-0.0
139,4,Wind offshore,-0.0
140,1,Solar PV,-0.0
140,2,Wind offshore,-281.98671318604227
140,3,Wind onshore,-0.0
140,4,Wind offshore,-0.0
141,1,Solar PV,-0.0
141,2,Wind offshore,-284.4251237692279
141,3,Wind onshore,-0.0
141,4,Wind offshore,-0.0
142,1,Solar PV,-0.0
142,2,Wind offshore,-286.90136657699804
142,3,Wind onshore,-0.0
142,4,Wind offshore,-0.0
143,1,Solar PV,-0.0
143,2,Wind offshore,-333.73635877612105
143,3,Wind onshore,-0.0
143,4,Wind offshore,-0.0
144,1,Solar PV,-0.0
144,2,Wind offshore,-322.45316288831583
144,3,Wind onshore,-0.0
144,4,Wind offshore,-0.0
145,1,Solar PV,-0.0
145,2,Wind offshore,-319.72946262699924
145,3,Wind onshore,-0.0
145,4,Wind offshore,-0.0
146,1,Solar PV,-0.0
146,2,Wind offshore,-327.7740807470375
146,3,Wind onshore,-0.0
146,4,Wind offshore,-0.0
147,1,Solar PV,-0.0
147,2,Wind offshore,-330.4485998766094
147,3,Wind onshore,-0.0
147,4,Wind offshore,-0.0
148,1,Solar PV,-0.0
148,2,Wind offshore,-346.0104436943339
148,3,Wind onshore,-0.0
148,4,Wind offshore,-0.0
149,1,Solar PV,-0.0
149,2,Wind offshore,-166.15308063772176
149,3,Wind onshore,-0.0
149,4,Wind offshore,-0.0
150,1,Solar PV,-0.0
150,2,Wind offshore,-157.14261470812906
150,3,Wind onshore,-0.0
150,4,Wind offshore,-0.0
151,1,Solar PV,-0.0
151,2,Wind offshore,-353.47396645214053
151,3,Wind onshore,-0.0
151,4,Wind offshore,-0.0
152,1,Solar PV,-0.0
152,2,Wind offshore,-342.1044809822818
152,3,Wind onshore,-0.0
152,4,Wind offshore,-0.0
153,1,Solar PV,-0.0
153,2,Wind offshore,-331.71521698446463
153,3,Wind onshore,-0.0
153,4,Wind offshore,-0.0
154,1,Solar PV,-0.0
154,2,Wind offshore,-326.3051244029703
154,3,Wind onshore,-0.0
154,4,Wind offshore,-0.0
155,1,Solar PV,-0.0
155,2,Wind offshore,-315.81645504573896
155,3,Wind onshore,-0.0
