time,unit,fuel,output_up
5629,7,NaturalGas,0.0
5629,8,HardCoal,0.0
5629,9,HardCoal,0.0
5629,10,Lignite,0.0
5629,11,Lignite,32.25319399999967
5629,12,HardCoal,97.0107736202209
5630,1,NaturalGas,0.0
5630,2,NaturalGas,0.0
5630,3,Lignite,0.0
5630,4,Nuclear,0.0
5630,5,Oil,0.0
5630,6,NaturalGas,1.1232867631537413
5630,7,NaturalGas,0.0
5630,8,HardCoal,0.0
5630,9,HardCoal,0.0
5630,10,Lignite,0.0
5630,11,Lignite,41.92424399999983
5630,12,HardCoal,73.6471247251037
5631,1,NaturalGas,0.0
5631,2,NaturalGas,0.0
5631,3,Lignite,0.0
5631,4,Nuclear,0.0
5631,5,Oil,0.0
5631,6,NaturalGas,0.0
5631,7,NaturalGas,0.0
5631,8,HardCoal,0.0
5631,9,HardCoal,0.0
5631,10,Lignite,0.0
5631,11,Lignite,69.63945799999989
5631,12,HardCoal,33.647124725103694
5632,1,NaturalGas,0.0
5632,2,NaturalGas,0.0
5632,3,Lignite,0.0
5632,4,Nuclear,0.0
5632,5,Oil,0.0
5632,6,NaturalGas,0.0
5632,7,NaturalGas,0.0
5632,8,HardCoal,0.0
5632,9,HardCoal,0.0
5632,10,Lignite,0.0
5632,11,Lignite,71.48941399999971
5632,12,HardCoal,13.895405024253371
5633,1,NaturalGas,0.0
5633,2,NaturalGas,0.0
5633,3,Lignite,0.0
5633,4,Nuclear,0.0
5633,5,Oil,0.0
5633,6,NaturalGas,0.0
5633,7,NaturalGas,0.0
5633,8,HardCoal,0.0
5633,9,HardCoal,0.0
5633,10,Lignite,0.0
5633,11,Lignite,49.94416200000047
5633,12,HardCoal,17.08300903607718
5634,1,NaturalGas,0.0
5634,2,NaturalGas,0.0
5634,3,Lignite,0.0
5634,4,Nuclear,0.0
5634,5,Oil,0.0
5634,6,NaturalGas,0.0
5634,7,NaturalGas,0.0
5634,8,HardCoal,0.0
5634,9,HardCoal,0.0
5634,10,Lignite,0.0
5634,11,Lignite,56.86427099999993
5634,12,HardCoal,2.2373913697267156
5635,1,NaturalGas,0.0
5635,2,NaturalGas,0.0
5635,3,Lignite,0.0
5635,4,Nuclear,0.0
5635,5,Oil,0.0
5635,6,NaturalGas,0.0
5635,7,NaturalGas,0.0
5635,8,HardCoal,0.0
5635,9,HardCoal,0.0
5635,10,Lignite,0.0
5635,11,Lignite,64.12685571294023
5635,12,HardCoal,0.0
5636,1,NaturalGas,0.0
5636,2,NaturalGas,0.0
5636,3,Lignite,0.0
5636,4,Nuclear,0.0
5636,5,Oil,0.0
5636,6,NaturalGas,0.0
5636,7,NaturalGas,0.0
5636,8,HardCoal,0.0
5636,9,HardCoal,0.0
5636,10,Lignite,0.0
5636,11,Lignite,71.08444864123057
5636,12,HardCoal,0.0
5637,1,NaturalGas,0.0
5637,2,NaturalGas,0.0
5637,3,Lignite,0.0
5637,4,Nuclear,15.400230325518294
5637,5,Oil,0.0
5637,6,NaturalGas,0.0
5637,7,NaturalGas,0.0
5637,8,HardCoal,0.0
5637,9,HardCoal,0.0
5637,10,Lignite,0.0
5637,11,Lignite,71.08444864123055
5637,12,HardCoal,0.0
5638,1,NaturalGas,0.0
5638,2,NaturalGas,0.0
5638,3,Lignite,0.0
5638,4,Nuclear,81.1429402075682
5638,5,Oil,0.0
5638,6,NaturalGas,0.0
5638,7,NaturalGas,0.0
5638,8,HardCoal,0.0
5638,9,HardCoal,0.0
5638,10,Lignite,0.0
5638,11,Lignite,14.28488064123038
5638,12,HardCoal,0.0
5639,1,NaturalGas,0.0
5639,2,NaturalGas,0.0
5639,3,Lignite,0.0
5639,4,Nuclear,101.43882102075057
5639,5,Oil,0.0
5639,6,NaturalGas,0.0
5639,7,NaturalGas,0.0
5639,8,HardCoal,0.0
5639,9,HardCoal,0.0
5639,10,Lignite,0.0
5639,11,Lignite,0.0
5639,12,HardCoal,0.0
5640,1,NaturalGas,0.0
5640,2,NaturalGas,0.0
5640,3,Lignite,26.801781000000034
5640,4,Nuclear,84.19083718113379
5640,5,Oil,0.0
5640,6,NaturalGas,0.0
5640,7,NaturalGas,0.0
5640,8,HardCoal,0.0
5640,9,HardCoal,0.0
5640,10,Lignite,0.0
5640,11,Lignite,0.0
5640,12,HardCoal,0.0
5641,1,NaturalGas,0.0
5641,2,NaturalGas,0.0
5641,3,Lignite,72.31414900000019
5641,4,Nuclear,48.695308423077876
5641,5,Oil,0.0
5641,6,NaturalGas,0.0
5641,7,NaturalGas,0.0
5641,8,HardCoal,0.0
5641,9,HardCoal,0.0
5641,10,Lignite,0.0
5641,11,Lignite,0.0
5641,12,HardCoal,0.0
5642,1,NaturalGas,0.0
5642,2,NaturalGas,0.0
5642,3,Lignite,73.73050200000003
5642,4,Nuclear,50.32193086434549
5642,5,Oil,0.0
5642,6,NaturalGas,0.0
5642,7,NaturalGas,0.0
5642,8,HardCoal,0.0
5642,9,HardCoal,0.0
5642,10,Lignite,0.0
5642,11,Lignite,0.0
5642,12,HardCoal,0.0
5643,1,NaturalGas,0.0
5643,2,NaturalGas,0.0
5643,3,Lignite,40.64120099999982
5643,4,Nuclear,82.70349253871143
5643,5,Oil,0.0
5643,6,NaturalGas,0.0
5643,7,NaturalGas,0.0
5643,8,HardCoal,0.0
5643,9,HardCoal,0.0
5643,10,Lignite,0.0
5643,11,Lignite,0.0
5643,12,HardCoal,0.0
5644,1,NaturalGas,0.0
5644,2,NaturalGas,0.0
5644,3,Lignite,39.37978499999999
5644,4,Nuclear,29.863443453731776
5644,5,Oil,0.0
5644,6,NaturalGas,0.0
5644,7,NaturalGas,0.0
5644,8,HardCoal,0.0
5644,9,HardCoal,0.0
5644,10,Lignite,0.0
5644,11,Lignite,60.0
5644,12,HardCoal,0.0
5645,1,NaturalGas,0.0
5645,2,NaturalGas,0.0
5645,3,Lignite,0.0
5645,4,Nuclear,18.978616006522575
5645,5,Oil,0.0
5645,6,NaturalGas,0.0
5645,7,NaturalGas,0.0
5645,8,HardCoal,0.0
5645,9,HardCoal,0.0
5645,10,Lignite,0.0
5645,11,Lignite,116.41335399999984
5645,12,HardCoal,0.0
5646,1,NaturalGas,0.0
5646,2,NaturalGas,0.0
5646,3,Lignite,0.0
5646,4,Nuclear,0.0
5646,5,Oil,0.0
5646,6,NaturalGas,0.0
5646,7,NaturalGas,0.0
5646,8,HardCoal,0.0
5646,9,HardCoal,0.0
5646,10,Lignite,0.0
5646,11,Lignite,116.41335399999986
5646,12,HardCoal,25.868382876507066
5647,1,NaturalGas,0.0
5647,2,NaturalGas,0.0
5647,3,Lignite,0.0
5647,4,Nuclear,0.0
5647,5,Oil,0.0
5647,6,NaturalGas,1.0120740461221356
5647,7,NaturalGas,0.0
5647,8,HardCoal,0.0
5647,9,HardCoal,0.0
5647,10,Lignite,0.0
5647,11,Lignite,82.09161500000009
5647,12,HardCoal,65.86838287650707
5648,1,NaturalGas,0.0
5648,2,NaturalGas,0.0
5648,3,Lignite,0.0
5648,4,Nuclear,0.0
5648,5,Oil,0.0
5648,6,NaturalGas,0.0
5648,7,NaturalGas,0.0
5648,8,HardCoal,0.0
5648,9,HardCoal,0.0
5648,10,Lignite,0.0
5648,11,Lignite,92.39659900000046
5648,12,HardCoal,71.7513722536121
5649,1,NaturalGas,0.0
5649,2,NaturalGas,0.0
5649,3,Lignite,0.0
5649,4,Nuclear,0.0
5649,5,Oil,0.0
5649,6,NaturalGas,0.0
5649,7,NaturalGas,0.0
5649,8,HardCoal,0.0
5649,9,HardCoal,0.0
5649,10,Lignite,0.0
5649,11,Lignite,93.09486700000006
5649,12,HardCoal,87.70084173871687
5650,1,NaturalGas,0.0
5650,2,NaturalGas,0.0
5650,3,Lignite,0.0
5650,4,Nuclear,0.0
5650,5,Oil,0.0
5650,6,NaturalGas,11.65599658108678
5650,7,NaturalGas,0.0
5650,8,HardCoal,0.0
5650,9,HardCoal,0.0
5650,10,Lignite,0.0
5650,11,Lignite,52.30368299999988
5650,12,HardCoal,127.70084173871687
5651,1,NaturalGas,0.0
5651,2,NaturalGas,0.0
5651,3,Lignite,0.0
5651,4,Nuclear,0.0
5651,5,Oil,0.0
5651,6,NaturalGas,17.091598738236115
5651,7,NaturalGas,0.0
5651,8,HardCoal,0.0
