0.31,0.31,0.09,0.09
0.338,0.338,0.09,0.078
0.349,0.349,0.088,0.063
0.347,0.347,0.094,0.058
0.348,0.348,0.09,0.048
0.35,0.35,0.082,0.04
0.337,0.337,0.081,0.045
0.352,0.352,0.099,0.078
0.43,0.43,0.151,0.128
0.492,0.492,0.201,0.179
0.497,0.497,0.226,0.208
0.5,0.5,0.232,0.199
0.491,0.491,0.22,0.165
0.479,0.479,0.193,0.128
0.471,0.471,0.158,0.097
0.46,0.46,0.126,0.07
0.442,0.442,0.1,0.054
0.435,0.435,0.089,0.044
0.434,0.434,0.091,0.039
0.43,0.43,0.095,0.046
0.428,0.428,0.094,0.066
0.42,0.42,0.093,0.088
0.409,0.409,0.089,0.106
0.384,0.384,0.093,0.121
0.366,0.366,0.095,0.137
0.361,0.361,0.094,0.13
0.37,0.37,0.097,0.111
0.401,0.401,0.106,0.113
0.442,0.442,0.118,0.111
0.491,0.491,0.132,0.115
0.556,0.556,0.14,0.123
0.662,0.662,0.213,0.163
0.759,0.759,0.328,0.24
0.819,0.819,0.381,0.296
0.846,0.846,0.38,0.315
0.857,0.857,0.376,0.323
0.862,0.862,0.38,0.315
0.87,0.87,0.374,0.299
0.862,0.862,0.362,0.317
0.842,0.842,0.347,0.313
0.814,0.814,0.31,0.294
0.796,0.796,0.277,0.286
0.775,0.775,0.258,0.305
0.751,0.751,0.261,0.325
0.724,0.724,0.268,0.357
0.705,0.705,0.29,0.385
0.7,0.7,0.28,0.402
0.674,0.674,0.237,0.403
0.653,0.653,0.251,0.401
0.644,0.644,0.234,0.418
0.638,0.638,0.212,0.389
0.645,0.645,0.201,0.391
0.669,0.669,0.213,0.378
0.686,0.686,0.239,0.363
0.683,0.683,0.267,0.364
0.713,0.713,0.309,0.394
0.782,0.782,0.391,0.431
0.833,0.833,0.407,0.464
0.833,0.833,0.378,0.487
0.808,0.808,0.354,0.482
0.806,0.806,0.323,0.447
0.762,0.762,0.353,0.458
0.679,0.679,0.391,0.437
0.605,0.605,0.411,0.325
0.557,0.557,0.406,0.274
0.59,0.59,0.41,0.248
0.573,0.573,0.402,0.245
0.553,0.553,0.375,0.235
0.61,0.61,0.369,0.185
0.65,0.65,0.38,0.16
0.662,0.662,0.394,0.155
0.685,0.685,0.436,0.16
0.67,0.67,0.395,0.163
0.661,0.661,0.332,0.165
0.656,0.656,0.274,0.145
0.644,0.644,0.259,0.121
0.639,0.639,0.226,0.116
0.644,0.644,0.209,0.113
0.638,0.638,0.254,0.132
0.632,0.632,0.323,0.172
0.641,0.641,0.366,0.219
0.644,0.644,0.394,0.251
0.651,0.651,0.407,0.276
0.655,0.655,0.407,0.286
0.641,0.641,0.391,0.277
0.602,0.602,0.352,0.272
0.577,0.577,0.32,0.278
0.554,0.554,0.308,0.265
0.529,0.529,0.314,0.249
0.546,0.546,0.333,0.219
0.558,0.558,0.349,0.206
0.558,0.558,0.328,0.209
0.529,0.529,0.27,0.223
0.463,0.463,0.239,0.225
0.429,0.429,0.233,0.214
0.413,0.413,0.238,0.202
0.458,0.458,0.24,0.194
0.503,0.503,0.217,0.182
0.526,0.526,0.202,0.191
0.541,0.541,0.178,0.219
0.538,0.538,0.164,0.242
0.526,0.526,0.179,0.266
0.575,0.575,0.201,0.275
0.677,0.677,0.291,0.333
0.762,0.762,0.398,0.41
