time,unit,fuel,output_up
25,11,Lignite,0.0
25,12,HardCoal,0.0
26,1,NaturalGas,0.0
26,2,NaturalGas,0.0
26,3,Lignite,75.0
26,4,Nuclear,39.649739620119995
26,5,Oil,0.0
26,6,NaturalGas,0.0
26,7,NaturalGas,0.0
26,8,HardCoal,0.0
26,9,HardCoal,0.0
26,10,Lignite,0.0
26,11,Lignite,0.0
26,12,HardCoal,0.0
27,1,NaturalGas,0.0
27,2,NaturalGas,0.0
27,3,Lignite,75.0
27,4,Nuclear,38.39259731661879
27,5,Oil,0.0
27,6,NaturalGas,0.0
27,7,NaturalGas,0.0
27,8,HardCoal,0.0
27,9,HardCoal,0.0
27,10,Lignite,0.0
27,11,Lignite,0.0
27,12,HardCoal,0.0
28,1,NaturalGas,0.0
28,2,NaturalGas,0.0
28,3,Lignite,75.0
28,4,Nuclear,67.21744275071599
28,5,Oil,0.0
28,6,NaturalGas,0.0
28,7,NaturalGas,0.0
28,8,HardCoal,0.0
28,9,HardCoal,0.0
28,10,Lignite,0.0
28,11,Lignite,0.0
28,12,HardCoal,0.0
29,1,NaturalGas,0.0
29,2,NaturalGas,0.0
29,3,Lignite,75.0
29,4,Nuclear,138.5252954305113
29,5,Oil,0.0
29,6,NaturalGas,0.0
29,7,NaturalGas,0.0
29,8,HardCoal,0.0
29,9,HardCoal,0.0
29,10,Lignite,0.0
29,11,Lignite,10.995094780802317
29,12,HardCoal,0.0
30,1,NaturalGas,0.0
30,2,NaturalGas,0.0
30,3,Lignite,31.629047000000156
30,4,Nuclear,219.40513986328844
30,5,Oil,0.0
30,6,NaturalGas,0.0
30,7,NaturalGas,0.0
30,8,HardCoal,0.0
30,9,HardCoal,0.0
30,10,Lignite,0.0
30,11,Lignite,70.99509478080232
30,12,HardCoal,0.0
31,1,NaturalGas,0.0
31,2,NaturalGas,0.0
31,3,Lignite,0.0
31,4,Nuclear,146.4050964400792
31,5,Oil,0.0
31,6,NaturalGas,0.0
31,7,NaturalGas,0.0
31,8,HardCoal,0.0
31,9,HardCoal,0.0
31,10,Lignite,0.0
31,11,Lignite,130.9950947808023
31,12,HardCoal,34.471885078679264
32,1,NaturalGas,0.0
32,2,NaturalGas,0.0
32,3,Lignite,0.0
32,4,Nuclear,33.65219199999983
32,5,Oil,0.0
32,6,NaturalGas,0.0
32,7,NaturalGas,0.0
32,8,HardCoal,0.0
32,9,HardCoal,0.0
32,10,Lignite,0.0
32,11,Lignite,188.87866878080226
32,12,HardCoal,74.47188507867926
33,1,NaturalGas,17.860527247930413
33,2,NaturalGas,0.0
33,3,Lignite,0.0
33,4,Nuclear,26.209205999999963
33,5,Oil,0.0
33,6,NaturalGas,0.0
33,7,NaturalGas,0.0
33,8,HardCoal,0.0
33,9,HardCoal,0.0
33,10,Lignite,0.0
33,11,Lignite,139.38357399999995
33,12,HardCoal,114.47188507867926
34,1,NaturalGas,48.95601471291897
34,2,NaturalGas,0.0
34,3,Lignite,0.0
34,4,Nuclear,3.2863530000001973
34,5,Oil,0.0
34,6,NaturalGas,0.0
34,7,NaturalGas,0.0
34,8,HardCoal,0.0
34,9,HardCoal,0.0
34,10,Lignite,0.0
34,11,Lignite,79.38357399999995
34,12,HardCoal,142.67513637727288
35,1,NaturalGas,68.27922723902806
35,2,NaturalGas,0.0
35,3,Lignite,0.0
35,4,Nuclear,0.0
35,5,Oil,0.0
35,6,NaturalGas,0.0
35,7,NaturalGas,0.0
35,8,HardCoal,0.0
35,9,HardCoal,0.0
35,10,Lignite,0.0
35,11,Lignite,19.383573999999946
35,12,HardCoal,165.763059082866
36,1,NaturalGas,70.07935776565459
36,2,NaturalGas,0.0
36,3,Lignite,0.0
36,4,Nuclear,0.0
36,5,Oil,0.0
36,6,NaturalGas,0.0
36,7,NaturalGas,0.0
36,8,HardCoal,0.0
36,9,HardCoal,0.0
36,10,Lignite,0.0
36,11,Lignite,0.0
36,12,HardCoal,173.17644197207179
37,1,NaturalGas,41.575834457509565
37,2,NaturalGas,0.0
37,3,Lignite,0.0
37,4,Nuclear,0.0
37,5,Oil,0.0
37,6,NaturalGas,0.0
37,7,NaturalGas,0.0
37,8,HardCoal,0.0
37,9,HardCoal,0.0
37,10,Lignite,0.0
37,11,Lignite,41.32388000000016
37,12,HardCoal,158.53919076135207
38,1,NaturalGas,36.95575371160926
38,2,NaturalGas,0.0
38,3,Lignite,0.0
38,4,Nuclear,0.0
38,5,Oil,0.0
38,6,NaturalGas,0.0
38,7,NaturalGas,0.0
38,8,HardCoal,0.0
38,9,HardCoal,0.0
38,10,Lignite,0.0
38,11,Lignite,66.38913800000003
38,12,HardCoal,143.93965654951336
39,1,NaturalGas,25.400364962997447
39,2,NaturalGas,0.0
39,3,Lignite,0.0
39,4,Nuclear,0.0
39,5,Oil,0.0
39,6,NaturalGas,0.0
39,7,NaturalGas,0.0
39,8,HardCoal,0.0
39,9,HardCoal,0.0
39,10,Lignite,0.0
39,11,Lignite,95.56888999999984
39,12,HardCoal,136.29541877272268
40,1,NaturalGas,56.68599175202883
40,2,NaturalGas,0.0
40,3,Lignite,0.0
40,4,Nuclear,0.0
40,5,Oil,0.0
40,6,NaturalGas,0.0
40,7,NaturalGas,0.0
40,8,HardCoal,0.0
40,9,HardCoal,0.0
40,10,Lignite,0.0
40,11,Lignite,58.109504825005544
40,12,HardCoal,151.29851603381746
41,1,NaturalGas,96.68599175202883
41,2,NaturalGas,22.00321917102299
41,3,Lignite,0.0
41,4,Nuclear,0.0
41,5,Oil,0.0
41,6,NaturalGas,0.0
41,7,NaturalGas,0.0
41,8,HardCoal,0.0
41,9,HardCoal,0.0
41,10,Lignite,0.0
41,11,Lignite,0.0
41,12,HardCoal,151.32753203381776
42,1,NaturalGas,98.03775363784318
42,2,NaturalGas,16.417839281583603
42,3,Lignite,0.0
42,4,Nuclear,0.0
42,5,Oil,0.0
42,6,NaturalGas,0.0
42,7,NaturalGas,0.0
42,8,HardCoal,0.0
42,9,HardCoal,0.0
42,10,Lignite,0.0
42,11,Lignite,0.0
42,12,HardCoal,145.11504029465402
43,1,NaturalGas,58.03775363784318
43,2,NaturalGas,22.94838640849461
43,3,Lignite,0.0
43,4,Nuclear,0.0
43,5,Oil,0.0
43,6,NaturalGas,10.98548927824754
43,7,NaturalGas,0.0
43,8,HardCoal,0.0
43,9,HardCoal,0.0
43,10,Lignite,0.0
43,11,Lignite,0.0
43,12,HardCoal,150.1184124976112
44,1,NaturalGas,18.037753637843178
44,2,NaturalGas,0.0
44,3,Lignite,0.0
44,4,Nuclear,46.188884000000115
44,5,Oil,0.0
44,6,NaturalGas,0.0
44,7,NaturalGas,0.0
44,8,HardCoal,0.0
44,9,HardCoal,0.0
44,10,Lignite,0.0
44,11,Lignite,60.00000000000001
44,12,HardCoal,116.64156649761135
45,1,NaturalGas,0.0
45,2,NaturalGas,0.0
45,3,Lignite,0.0
45,4,Nuclear,65.03081999999995
45,5,Oil,0.0
45,6,NaturalGas,0.0
45,7,NaturalGas,0.0
45,8,HardCoal,0.0
45,9,HardCoal,0.0
45,10,Lignite,0.0
45,11,Lignite,83.02520068728745
45,12,HardCoal,76.64156649761135
46,1,NaturalGas,0.0
46,2,NaturalGas,0.0
46,3,Lignite,0.0
46,4,Nuclear,49.320019000000045
46,5,Oil,0.0
46,6,NaturalGas,0.0
46,7,NaturalGas,0.0
46,8,HardCoal,0.0
46,9,HardCoal,0.0
46,10,Lignite,0.0
46,11,Lignite,125.04762942462686
46,12,HardCoal,36.64156649761134
47,1,NaturalGas,0.0
47,2,NaturalGas,0.0
47,3,Lignite,0.0
47,4,Nuclear,107.04751209838817
47,5,Oil,0.0
47,6,NaturalGas,0.0
47,7,NaturalGas,0.0
47,8,HardCoal,0.0
47,9,HardCoal,0.0
47,10,Lignite,0.0
47,11,Lignite,86.54762942462688
47,12,HardCoal,0.0
48,1,NaturalGas,0.0
48,2,NaturalGas,0.0
48,3,Lignite,0.0
48,4,Nuclear,155.82623372097314
48,5,Oil,0.0
48,6,NaturalGas,0.0
48,7,NaturalGas,0.0
48,8,HardCoal,0.0
48,9,HardCoal,0.0
48,10,Lignite,0.0
48,11,Lignite,26.547629424626884
48,12,HardCoal,0.0
49,1,NaturalGas,0.0
49,2,NaturalGas,0.0
49,3,Lignite,0.0
49,4,Nuclear,180.50958060480556
49,5,Oil,0.0
49,6,NaturalGas,0.0
49,7,NaturalGas,0.0
49,8,HardCoal,0.0
49,9,HardCoal,0.0
49,10,Lignite,0.0
49,11,Lignite,0.0
49,12,HardCoal,0.0
50,1,NaturalGas,0.0
50,2,NaturalGas,0.0
50,3,Lignite,0.0
50,4,Nuclear,181.0157235316683
50,5,Oil,0.0
50,6,NaturalGas,0.0
50,7,NaturalGas,0.0
50,8,HardCoal,0.0
50,9,HardCoal,0.0
50,10,Lignite,0.0
50,11,Lignite,0.0
50,12,HardCoal,0.0
51,1,NaturalGas,0.0
51,2,NaturalGas,0.0
51,3,Lignite,0.0
51,4,Nuclear,193.86613277182968
51,5,Oil,0.0
51,6,NaturalGas,0.0
51,7,NaturalGas,0.0
51,8,HardCoal,0.0
51,9,HardCoal,0.0
51,10,Lignite,0.0
51,11,Lignite,0.0
51,12,HardCoal,0.0
52,1,NaturalGas,0.0
52,2,NaturalGas,0.0
52,3,Lignite,0.0
52,4,Nuclear,181.1498862567394
52,5,Oil,0.0
52,6,NaturalGas,0.0
52,7,NaturalGas,0.0
52,8,HardCoal,0.0
52,9,HardCoal,0.0
52,10,Lignite,0.0
52,11,Lignite,21.50000000000003
52,12,HardCoal,0.0
53,1,NaturalGas,0.0
53,2,NaturalGas,0.0
53,3,Lignite,0.0
53,4,Nuclear,124.66518419833767
53,5,Oil,0.0
53,6,NaturalGas,0.0
53,7,NaturalGas,0.0
53,8,HardCoal,0.0
53,9,HardCoal,0.0
53,10,Lignite,0.0
53,11,Lignite,81.50000000000003
53,12,HardCoal,24.74617095967824
54,1,NaturalGas,0.0
54,2,NaturalGas,0.0
54,3,Lignite,0.0
54,4,Nuclear,47.62653569561923
54,5,Oil,0.0
54,6,NaturalGas,0.0
54,7,NaturalGas,0.0
54,8,HardCoal,0.0
54,9,HardCoal,0.0
54,10,Lignite,0.0
54,11,Lignite,137.31132099999996
54,12,HardCoal,64.74617095967824
55,1,NaturalGas,5.78234849803988
55,2,NaturalGas,0.0
55,3,Lignite,0.0
55,4,Nuclear,24.253444999999818
55,5,Oil,0.0
55,6,NaturalGas,0.0
55,7,NaturalGas,0.0
55,8,HardCoal,0.0
55,9,HardCoal,0.0
55,10,Lignite,0.0
55,11,Lignite,137.31132099999994
55,12,HardCoal,104.74617095967824
56,1,NaturalGas,45.78234849803988
56,2,NaturalGas,16.340860827356966
56,3,Lignite,0.0
56,4,Nuclear,0.0
56,5,Oil,0.0
56,6,NaturalGas,2.528015824953389
56,7,NaturalGas,0.0
56,8,HardCoal,0.0
56,9,HardCoal,0.0
56,10,Lignite,0.0
56,11,Lignite,77.31132099999995
56,12,HardCoal,144.74617095967824
57,1,NaturalGas,81.17061344411334
57,2,NaturalGas,0.0
57,3,Lignite,0.0
57,4,Nuclear,0.0
57,5,Oil,0.0
57,6,NaturalGas,0.0
57,7,NaturalGas,0.0
57,8,HardCoal,0.0
57,9,HardCoal,0.0
57,10,Lignite,0.0
57,11,Lignite,48.17785799999981
57,12,HardCoal,167.17588955484678
58,1,NaturalGas,92.99248293702489
58,2,NaturalGas,0.0
58,3,Lignite,0.0
58,4,Nuclear,0.0
58,5,Oil,0.0
58,6,NaturalGas,0.0
58,7,NaturalGas,0.0
58,8,HardCoal,0.0
58,9,HardCoal,0.0
58,10,Lignite,0.0
58,11,Lignite,38.17708699999982
58,12,HardCoal,185.18356859854396
59,1,NaturalGas,113.2599084821172
59,2,NaturalGas,0.0
59,3,Lignite,0.0
59,4,Nuclear,0.0
59,5,Oil,0.0
59,6,NaturalGas,0.0
59,7,NaturalGas,0.0
59,8,HardCoal,0.0
59,9,HardCoal,0.0
59,10,Lignite,0.0
59,11,Lignite,22.664718999999867
59,12,HardCoal,196.97309150865118
60,1,NaturalGas,113.90655474827818
60,2,NaturalGas,0.0
60,3,Lignite,0.0
60,4,Nuclear,0.0
60,5,Oil,0.0
60,6,NaturalGas,0.0
60,7,NaturalGas,0.0
60,8,HardCoal,0.0
60,9,HardCoal,0.0
60,10,Lignite,0.0
60,11,Lignite,12.1147000000001
60,12,HardCoal,196.34232756063454
61,1,NaturalGas,106.48607735258575
61,2,NaturalGas,0.0
61,3,Lignite,0.0
61,4,Nuclear,0.0
61,5,Oil,0.0
61,6,NaturalGas,0.0
61,7,NaturalGas,0.0
61,8,HardCoal,0.0
61,9,HardCoal,0.0
61,10,Lignite,0.0
61,11,Lignite,15.268461999999783
61,12,HardCoal,188.68108877341453
62,1,NaturalGas,86.02577937789965
62,2,NaturalGas,0.0
62,3,Lignite,0.0
62,4,Nuclear,0.0
62,5,Oil,0.0
62,6,NaturalGas,0.0
62,7,NaturalGas,0.0
62,8,HardCoal,0.0
62,9,HardCoal,0.0
62,10,Lignite,0.0
62,11,Lignite,40.273154
62,12,HardCoal,176.97622092589552
63,1,NaturalGas,57.02780995667042
63,2,NaturalGas,0.0
63,3,Lignite,0.0
63,4,Nuclear,16.62120000000007
63,5,Oil,0.0
63,6,NaturalGas,0.0
63,7,NaturalGas,0.0
63,8,HardCoal,0.0
63,9,HardCoal,0.0
63,10,Lignite,0.0
63,11,Lignite,60.00000000000001
63,12,HardCoal,172.72302828181293
64,1,NaturalGas,97.02780995667042
64,2,NaturalGas,21.90964894400158
64,3,Lignite,0.0
64,4,Nuclear,0.0
64,5,Oil,0.0
64,6,NaturalGas,0.0
64,7,NaturalGas,0.0
64,8,HardCoal,0.0
64,9,HardCoal,0.0
64,10,Lignite,0.0
64,11,Lignite,0.0
64,12,HardCoal,187.37666948559192
65,1,NaturalGas,121.6
65,2,NaturalGas,39.889637324308744
65,3,Lignite,0.0
65,4,Nuclear,0.0
65,5,Oil,0.0
