time,unit,technology,output
5685,4,Wind offshore,3.4000000000000004
5686,1,Solar PV,0.0
5686,2,Wind offshore,3.4000000000000004
5686,3,Wind onshore,13.600000000000001
5686,4,Wind offshore,3.4000000000000004
5687,1,Solar PV,0.0
5687,2,Wind offshore,4.8
5687,3,Wind onshore,19.6
5687,4,Wind offshore,4.8
5688,1,Solar PV,0.0
5688,2,Wind offshore,7.8
5688,3,Wind onshore,25.4
5688,4,Wind offshore,7.8
5689,1,Solar PV,0.0
5689,2,Wind offshore,12.8
5689,3,Wind onshore,31.6
5689,4,Wind offshore,12.8
5690,1,Solar PV,0.0
5690,2,Wind offshore,17.8
5690,3,Wind onshore,38.2
5690,4,Wind offshore,17.8
5691,1,Solar PV,0.0
5691,2,Wind offshore,24.0
5691,3,Wind onshore,46.2
5691,4,Wind offshore,24.0
5692,1,Solar PV,0.0
5692,2,Wind offshore,31.8
5692,3,Wind onshore,50.2
5692,4,Wind offshore,31.8
5693,1,Solar PV,0.0
5693,2,Wind offshore,37.4
5693,3,Wind onshore,48.6
5693,4,Wind offshore,37.4
5694,1,Solar PV,1.2
5694,2,Wind offshore,37.8
5694,3,Wind onshore,37.2
5694,4,Wind offshore,37.8
5695,1,Solar PV,7.3999999999999995
5695,2,Wind offshore,35.4
5695,3,Wind onshore,27.6
5695,4,Wind offshore,35.4
5696,1,Solar PV,22.0
5696,2,Wind offshore,31.0
5696,3,Wind onshore,33.800000000000004
5696,4,Wind offshore,31.0
5697,1,Solar PV,34.8
5697,2,Wind offshore,21.8
5697,3,Wind onshore,37.2
5697,4,Wind offshore,21.8
5698,1,Solar PV,54.400000000000006
5698,2,Wind offshore,14.6
5698,3,Wind onshore,32.4
5698,4,Wind offshore,14.6
5699,1,Solar PV,96.0
5699,2,Wind offshore,11.4
5699,3,Wind onshore,23.599999999999998
5699,4,Wind offshore,11.4
5700,1,Solar PV,76.4
5700,2,Wind offshore,12.6
5700,3,Wind onshore,16.400000000000002
5700,4,Wind offshore,12.6
5701,1,Solar PV,36.0
5701,2,Wind offshore,20.8
5701,3,Wind onshore,11.799999999999999
5701,4,Wind offshore,20.8
5702,1,Solar PV,38.4
5702,2,Wind offshore,31.2
5702,3,Wind onshore,10.8
5702,4,Wind offshore,31.2
5703,1,Solar PV,30.0
5703,2,Wind offshore,39.4
5703,3,Wind onshore,11.600000000000001
5703,4,Wind offshore,39.4
5704,1,Solar PV,18.8
5704,2,Wind offshore,42.8
5704,3,Wind onshore,14.2
5704,4,Wind offshore,42.8
5705,1,Solar PV,10.2
5705,2,Wind offshore,43.2
5705,3,Wind onshore,17.4
5705,4,Wind offshore,43.2
5706,1,Solar PV,2.4
5706,2,Wind offshore,42.0
5706,3,Wind onshore,25.0
5706,4,Wind offshore,42.0
5707,1,Solar PV,0.0
5707,2,Wind offshore,42.0
5707,3,Wind onshore,38.4
5707,4,Wind offshore,42.0
5708,1,Solar PV,0.0
5708,2,Wind offshore,40.8
5708,3,Wind onshore,47.0
5708,4,Wind offshore,40.8
5709,1,Solar PV,0.0
5709,2,Wind offshore,39.0
5709,3,Wind onshore,48.199999999999996
5709,4,Wind offshore,39.0
5710,1,Solar PV,0.0
5710,2,Wind offshore,39.0
5710,3,Wind onshore,46.2
5710,4,Wind offshore,39.0
5711,1,Solar PV,0.0
5711,2,Wind offshore,40.2
5711,3,Wind onshore,42.0
5711,4,Wind offshore,40.2
5712,1,Solar PV,0.0
5712,2,Wind offshore,40.0
5712,3,Wind onshore,14.908528999999916
5712,4,Wind offshore,40.0
5713,1,Solar PV,0.0
5713,2,Wind offshore,39.0
5713,3,Wind onshore,20.504812
5713,4,Wind offshore,0.0
5714,1,Solar PV,0.0
5714,2,Wind offshore,19.624098999999987
5714,3,Wind onshore,24.4
5714,4,Wind offshore,0.0
5715,1,Solar PV,0.0
5715,2,Wind offshore,0.0
5715,3,Wind onshore,19.6
5715,4,Wind offshore,19.207771000000193
5716,1,Solar PV,0.0
5716,2,Wind offshore,16.058701000000028
5716,3,Wind onshore,0.0
5716,4,Wind offshore,31.6
5717,1,Solar PV,0.0
5717,2,Wind offshore,26.400000000000002
5717,3,Wind onshore,8.200000000000001
5717,4,Wind offshore,26.400000000000002
5718,1,Solar PV,3.0
5718,2,Wind offshore,21.0
5718,3,Wind onshore,4.0
5718,4,Wind offshore,21.0
5719,1,Solar PV,13.8
5719,2,Wind offshore,14.799999999999999
5719,3,Wind onshore,1.2
5719,4,Wind offshore,14.799999999999999
5720,1,Solar PV,28.799999999999997
5720,2,Wind offshore,10.0
5720,3,Wind onshore,2.8000000000000003
5720,4,Wind offshore,10.0
5721,1,Solar PV,48.4
5721,2,Wind offshore,5.4
5721,3,Wind onshore,3.4000000000000004
5721,4,Wind offshore,5.4
5722,1,Solar PV,71.6
5722,2,Wind offshore,3.0
5722,3,Wind onshore,2.4
5722,4,Wind offshore,3.0
5723,1,Solar PV,63.0
5723,2,Wind offshore,5.0
5723,3,Wind onshore,2.1999999999999997
5723,4,Wind offshore,5.0
5724,1,Solar PV,73.4
5724,2,Wind offshore,10.6
5724,3,Wind onshore,3.2
5724,4,Wind offshore,10.6
5725,1,Solar PV,92.80000000000001
5725,2,Wind offshore,16.2
5725,3,Wind onshore,5.4
5725,4,Wind offshore,16.2
5726,1,Solar PV,124.4
